Type: OTHER2 #Tag: 2 b = 1 ######################
Update! 1093 cooperative actions made last generation!
Update! 1503 cooperative actions made last generation!
Update! 1628 cooperative actions made last generation!
Update! 1651 cooperative actions made last generation!
Update! 1698 cooperative actions made last generation!
Update! 1708 cooperative actions made last generation!
Update! 1720 cooperative actions made last generation!
Update! 1726 cooperative actions made last generation!
Update! 1756 cooperative actions made last generation!
Update! 1784 cooperative actions made last generation!
Type: OTHER2 #Tag: 2 b = 1.025 ######################
Update! 973 cooperative actions made last generation!
Update! 1162 cooperative actions made last generation!
Update! 1269 cooperative actions made last generation!
Update! 1331 cooperative actions made last generation!
Update! 1420 cooperative actions made last generation!
Update! 1472 cooperative actions made last generation!
Update! 1478 cooperative actions made last generation!
Update! 1530 cooperative actions made last generation!
Update! 1559 cooperative actions made last generation!
Update! 1536 cooperative actions made last generation!
Type: OTHER2 #Tag: 2 b = 1.1 ######################
Update! 1029 cooperative actions made last generation!
Update! 1142 cooperative actions made last generation!
Update! 1194 cooperative actions made last generation!
Update! 1189 cooperative actions made last generation!
Update! 1195 cooperative actions made last generation!
Update! 1178 cooperative actions made last generation!
Update! 1222 cooperative actions made last generation!
Update! 1276 cooperative actions made last generation!
Update! 1293 cooperative actions made last generation!
Update! 1323 cooperative actions made last generation!
Type: OTHER2 #Tag: 2 b = 1.15 ######################
Update! 1093 cooperative actions made last generation!
Update! 1188 cooperative actions made last generation!
Update! 1218 cooperative actions made last generation!
Update! 1240 cooperative actions made last generation!
Update! 1243 cooperative actions made last generation!
Update! 1250 cooperative actions made last generation!
Update! 1207 cooperative actions made last generation!
Update! 1238 cooperative actions made last generation!
Update! 1220 cooperative actions made last generation!
Update! 1214 cooperative actions made last generation!
Type: OTHER2 #Tag: 2 b = 1.2 ######################
Update! 1072 cooperative actions made last generation!
Update! 929 cooperative actions made last generation!
Update! 938 cooperative actions made last generation!
Update! 877 cooperative actions made last generation!
Update! 846 cooperative actions made last generation!
Update! 835 cooperative actions made last generation!
Update! 883 cooperative actions made last generation!
Update! 879 cooperative actions made last generation!
Update! 773 cooperative actions made last generation!
Update! 766 cooperative actions made last generation!
