Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
1991,1865,1865,1865,1865,2003,2003,2003,2003,1907,1907,1907,2010,2010,2010,2010,1975,1975,1975,1977,1977
2534,2598,2487,2124,2163,1931,1960,1743,1753,1514,1431,1288,1430,1198,1163,1125,838,930,874,889,834
3199,3217,3023,2770,2670,2545,2106,2179,2432,1748,1486,941,1379,750,601,799,402,658,487,412,384
3366,3301,3345,3109,3061,3060,2565,2344,2844,2371,2094,950,910,354,453,462,162,308,215,236,301
3482,3186,3385,3228,3498,3183,2931,2809,2762,2184,2260,1273,1564,112,331,39,34,495,54,146,335
3580,3115,3347,3471,3608,3478,3011,3212,3010,2632,1877,1999,1679,3,22,2,8,295,33,84,215
3595,3195,3313,3621,3596,3450,2727,3454,3080,2642,1126,2237,1596,0,10,0,0,48,7,45,190
3604,3323,3314,3813,3656,3132,3419,3383,3218,3188,1568,1727,3117,0,0,0,0,8,0,39,190
3613,3487,3301,3747,3702,2925,3811,3518,3388,3368,2411,2241,3214,0,0,0,0,0,0,20,190
3600,3598,3282,3691,3828,3153,3814,3524,3187,3030,2304,2186,2844,0,0,0,0,0,0,0,190
3644,3616,3237,3681,3872,3616,3848,3597,3013,2650,2342,1487,2911,0,0,0,0,0,0,0,190
3669,3772,3201,3657,3884,3753,3857,3748,3131,2188,3210,833,2150,0,0,0,0,0,0,0,190
3649,3834,3098,3536,3887,3740,3864,3675,3373,1800,3154,191,2376,0,0,0,0,0,0,0,190
3659,3846,3019,3367,3895,3733,3875,3672,3301,1445,3123,17,2900,0,0,0,0,0,0,0,190
3651,3860,2807,3236,3901,3777,3887,3835,3382,1039,2972,0,2568,0,0,0,0,0,0,0,190
3654,3877,2622,3098,3911,3782,3891,3888,3395,692,3322,0,2511,0,0,0,0,0,0,0,190
3676,3890,2362,2876,3927,3813,3891,3895,3338,421,3492,0,2233,0,0,0,0,0,0,0,190
3708,3896,2224,2497,3930,3887,3892,3926,3416,166,3482,0,2270,0,0,0,0,0,0,0,190
3695,3897,2204,2320,3936,3921,3892,3937,3455,47,3561,0,1592,0,0,0,0,0,0,0,190
3707,3901,2233,1940,3943,3936,3892,3939,3297,3,3461,0,548,0,0,0,0,0,0,0,190
3685,3907,2042,1699,3949,3964,3891,3943,3062,0,3400,0,267,0,0,0,0,0,0,0,190
3648,3910,1842,1590,3962,3968,3893,3947,2629,0,3609,0,1329,0,0,0,0,0,0,0,190
3652,3911,1769,1896,3968,3968,3893,3953,2989,0,3579,0,2420,0,0,0,0,0,0,0,190
3651,3914,1645,3460,3968,3968,3894,3967,3060,0,3336,0,1454,0,0,0,0,0,0,0,190
3650,3915,1579,3920,3968,3968,3894,3968,2702,0,3072,0,466,0,0,0,0,0,0,0,190
3626,3917,1848,3965,3968,3968,3894,3968,2173,0,2931,0,72,0,0,0,0,0,0,0,190
3621,3918,1807,3968,3968,3968,3894,3968,2236,0,2670,0,0,0,0,0,0,0,0,0,190
3624,3924,1775,3968,3968,3968,3894,3968,3111,0,2756,0,0,0,0,0,0,0,0,0,190
3645,3928,1747,3968,3968,3968,3893,3968,3258,0,2428,0,0,0,0,0,0,0,0,0,190
3668,3932,1719,3968,3968,3968,3893,3968,2533,0,2663,0,0,0,0,0,0,0,0,0,190
3680,3937,1685,3968,3968,3968,3893,3968,1572,0,2913,0,0,0,0,0,0,0,0,0,190
3634,3942,1782,3968,3968,3968,3893,3968,593,0,2800,0,0,0,0,0,0,0,0,0,190
3612,3948,1805,3968,3968,3968,3893,3968,141,0,2703,0,0,0,0,0,0,0,0,0,190
3538,3961,1765,3968,3968,3968,3893,3968,30,0,3073,0,0,0,0,0,0,0,0,0,190
3568,3968,1684,3968,3968,3968,3894,3968,0,0,2885,0,0,0,0,0,0,0,0,0,190
3583,3968,1740,3968,3968,3968,3895,3968,0,0,2687,0,0,0,0,0,0,0,0,0,190
3579,3968,1830,3968,3968,3968,3896,3968,0,0,3080,0,0,0,0,0,0,0,0,0,190
3570,3968,1892,3968,3968,3968,3895,3968,0,0,2946,0,0,0,0,0,0,0,0,0,190
3526,3968,1830,3968,3968,3968,3895,3968,0,0,2877,0,0,0,0,0,0,0,0,0,190
3467,3968,1735,3968,3968,3968,3895,3968,0,0,2980,0,0,0,0,0,0,0,0,0,190
3497,3968,1663,3968,3968,3968,3896,3968,0,0,2868,0,0,0,0,0,0,0,0,0,190
3413,3968,1505,3968,3968,3968,3896,3968,0,0,2553,0,0,0,0,0,0,0,0,0,190
3427,3968,1396,3968,3968,3968,3895,3968,0,0,2898,0,0,0,0,0,0,0,0,0,190
3387,3968,1424,3968,3968,3968,3895,3968,0,0,2859,0,0,0,0,0,0,0,0,0,190
3442,3968,1565,3968,3968,3968,3896,3968,0,0,2518,0,0,0,0,0,0,0,0,0,190
3464,3968,1616,3968,3968,3968,3896,3968,0,0,2682,0,0,0,0,0,0,0,0,0,190
3495,3968,1535,3968,3968,3968,3898,3968,0,0,3524,0,0,0,0,0,0,0,0,0,190
3480,3968,1509,3968,3968,3968,3898,3968,0,0,3698,0,0,0,0,0,0,0,0,0,190
3437,3968,1777,3968,3968,3968,3898,3968,0,0,3830,0,0,0,0,0,0,0,0,0,190
3436,3968,1749,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
