Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/2__l_1024__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
3389,3968,1837,3968,3968,3968,3897,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3374,3968,1723,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3391,3968,1690,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3388,3968,1829,3968,3968,3968,3897,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3358,3968,1820,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3322,3968,1574,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3299,3968,1341,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3297,3968,1349,3968,3968,3968,3898,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3336,3968,1435,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3229,3968,1402,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3248,3968,1331,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3218,3968,1211,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3284,3968,1105,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3282,3968,1145,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3306,3968,1365,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3316,3968,1344,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3243,3968,1370,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3264,3968,1453,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3256,3968,1511,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3258,3968,1557,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3236,3968,1592,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3190,3968,1568,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3143,3968,1344,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3153,3968,1456,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3153,3968,1581,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3093,3968,1627,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3034,3968,1733,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3097,3968,1818,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3097,3968,1689,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3123,3968,1729,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3089,3968,1699,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3054,3968,1770,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3059,3968,1823,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3078,3968,1741,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3081,3968,1682,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3081,3968,1401,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3047,3968,1309,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3025,3968,1520,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3026,3968,1618,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3027,3968,1543,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3011,3968,1641,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2969,3968,1627,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2995,3968,1370,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2978,3968,1212,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3000,3968,1259,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2957,3968,1196,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2909,3968,1245,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
2952,3968,1299,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3011,3968,1232,3968,3968,3968,3900,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
3085,3968,1317,3968,3968,3968,3899,3968,0,0,3968,0,0,0,0,0,0,0,0,0,190
