Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
956,956,956,1130,1130,1130,1130,999,999,999,1028,1028,1028,1028,987,987,987,969,969,969,1035
1286,1190,1027,988,804,805,613,776,789,709,649,539,502,563,619,607,574,360,444,400,368
1630,1515,1218,1139,856,661,446,587,577,394,586,298,253,392,353,284,329,136,344,165,88
1745,1615,1343,1199,865,613,542,406,353,329,418,190,147,289,333,168,246,80,221,91,21
1776,1650,1383,1192,925,518,436,359,204,283,268,180,69,271,501,228,184,87,101,67,11
1790,1713,1363,1151,950,462,364,325,106,337,222,193,84,281,523,294,99,77,82,85,10
1809,1744,1466,1148,916,397,304,359,60,369,174,182,78,266,463,254,77,63,62,78,10
1826,1726,1539,1178,941,347,409,410,40,400,231,196,99,221,395,166,45,62,46,81,10
1811,1766,1552,1161,958,307,394,396,37,419,215,207,106,215,297,120,49,70,45,90,10
1818,1775,1585,1135,957,265,373,424,14,436,190,187,100,235,224,125,54,73,43,77,10
1796,1782,1613,1148,969,307,332,478,0,426,201,171,71,236,185,123,51,47,37,78,10
1786,1786,1614,1167,965,384,310,517,0,435,196,184,65,237,185,114,40,30,30,71,10
1787,1796,1573,1190,931,336,344,546,0,469,179,184,73,218,198,104,39,10,27,70,10
1786,1763,1544,1189,945,326,352,582,0,441,205,200,70,217,190,100,16,0,23,62,10
1781,1753,1516,1194,940,328,390,629,0,429,240,210,65,219,172,78,26,0,15,55,10
1761,1746,1521,1196,956,340,367,643,0,438,256,227,74,184,161,67,16,0,13,54,10
1741,1757,1552,1153,995,340,337,654,0,478,233,259,56,182,155,59,14,0,1,38,10
1733,1728,1551,1125,969,309,357,676,0,472,200,242,47,161,143,38,17,0,0,33,10
1726,1718,1564,1118,1004,283,400,769,0,468,196,244,50,166,153,18,16,0,0,30,10
1698,1722,1578,1117,1005,241,405,835,0,502,216,241,56,170,156,27,11,0,0,16,10
