Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/2__tftb_512__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
1697,1718,1561,1112,998,191,431,858,0,512,217,257,73,188,155,44,1,0,0,1,10
1693,1718,1577,1105,992,173,427,880,0,543,260,271,67,172,139,48,0,0,0,0,10
1680,1683,1540,1125,983,129,484,909,0,581,277,264,76,188,138,36,0,0,0,0,10
1662,1677,1553,1164,1000,124,475,914,0,588,300,250,71,183,112,30,0,0,0,0,10
1665,1703,1544,1178,1026,139,493,958,0,611,305,232,82,158,66,52,0,0,0,0,10
1664,1704,1550,1172,1036,153,511,984,0,616,292,240,95,170,81,59,0,0,0,0,10
1658,1707,1498,1186,1068,143,548,997,0,629,291,256,106,203,85,81,0,0,0,0,10
1643,1696,1487,1190,1047,119,617,1026,0,639,266,262,109,195,78,69,0,0,0,0,10
1634,1692,1486,1235,1022,110,692,1037,0,667,255,274,122,191,75,65,0,0,0,0,10
1625,1657,1465,1230,1013,101,704,1062,0,670,250,274,101,176,103,69,0,0,0,0,10
1607,1651,1452,1265,1015,96,722,1099,0,685,256,279,89,176,89,72,0,0,0,0,10
1598,1614,1408,1272,1002,79,751,1137,0,722,264,276,64,159,56,76,0,0,0,0,10
1555,1607,1411,1273,1008,63,775,1183,0,729,265,247,68,131,50,92,0,0,0,0,10
1566,1604,1445,1288,1032,21,832,1184,0,763,258,239,64,126,28,92,0,0,0,0,10
1536,1584,1428,1264,1061,0,848,1201,0,773,255,246,89,147,20,88,0,0,0,0,10
1508,1592,1414,1271,1076,0,872,1175,0,779,248,238,96,157,7,78,0,0,0,0,10
1511,1588,1414,1273,1088,0,906,1165,0,785,242,241,101,159,0,48,0,0,0,0,10
1493,1563,1421,1262,1106,0,920,1202,0,779,252,249,105,142,0,49,0,0,0,0,10
1481,1557,1417,1252,1062,0,927,1219,0,763,274,280,87,157,0,40,0,0,0,0,10
1489,1538,1373,1271,1083,0,956,1219,0,763,274,276,86,149,0,36,0,0,0,0,10
1476,1538,1382,1279,1127,0,981,1228,0,779,274,288,74,128,0,38,0,0,0,0,10
1464,1529,1369,1266,1148,0,1023,1248,0,798,274,296,57,110,0,20,0,0,0,0,10
1466,1506,1342,1264,1157,0,1023,1240,0,809,262,302,63,114,0,0,0,0,0,0,10
1482,1508,1339,1268,1147,0,1051,1266,0,833,245,295,67,113,0,0,0,0,0,0,10
1481,1487,1318,1280,1150,0,1063,1279,0,832,247,297,57,94,0,0,0,0,0,0,10
1480,1481,1322,1279,1140,0,1094,1281,0,826,242,315,53,74,0,0,0,0,0,0,10
1453,1473,1325,1262,1114,0,1114,1273,0,839,258,326,55,87,0,0,0,0,0,0,10
1451,1452,1313,1262,1112,0,1124,1289,0,804,287,344,79,98,0,0,0,0,0,0,10
1447,1424,1299,1267,1089,0,1136,1293,0,828,275,332,87,98,0,0,0,0,0,0,10
1430,1400,1260,1278,1083,0,1179,1265,0,840,249,334,91,111,0,0,0,0,0,0,10
1416,1379,1240,1257,1075,0,1182,1288,0,854,253,317,97,124,0,0,0,0,0,0,10
1420,1376,1252,1254,1086,0,1180,1263,0,886,244,317,110,110,0,0,0,0,0,0,10
1415,1356,1266,1258,1081,0,1207,1299,0,882,213,343,116,109,0,0,0,0,0,0,10
1400,1348,1259,1261,1103,0,1197,1291,0,885,199,353,124,129,0,0,0,0,0,0,10
1407,1337,1277,1256,1131,0,1196,1285,0,906,221,327,145,133,0,0,0,0,0,0,10
1403,1322,1278,1265,1148,0,1207,1275,0,899,219,317,142,131,0,0,0,0,0,0,10
1387,1324,1254,1267,1119,0,1215,1265,0,886,229,310,148,132,0,0,0,0,0,0,10
1409,1334,1258,1260,1160,0,1226,1268,0,893,236,310,150,118,0,0,0,0,0,0,10
1387,1325,1261,1283,1180,0,1238,1267,0,896,244,313,168,112,0,0,0,0,0,0,10
1399,1305,1277,1264,1187,0,1244,1272,0,892,253,307,180,81,0,0,0,0,0,0,10
1391,1277,1264,1259,1207,0,1256,1269,0,883,270,293,162,74,0,0,0,0,0,0,10
1372,1273,1253,1272,1239,0,1256,1267,0,909,254,303,150,88,0,0,0,0,0,0,10
1377,1275,1264,1279,1244,0,1267,1273,0,905,262,293,123,89,0,0,0,0,0,0,10
1356,1269,1247,1252,1270,0,1263,1274,0,910,282,274,125,94,0,0,0,0,0,0,10
1328,1266,1266,1257,1254,0,1270,1284,0,935,285,250,101,110,0,0,0,0,0,0,10
1342,1254,1283,1269,1233,0,1275,1269,0,934,274,256,104,125,0,0,0,0,0,0,10
1350,1257,1247,1272,1264,0,1265,1274,0,958,269,282,93,140,0,0,0,0,0,0,10
1335,1261,1262,1264,1287,0,1292,1269,0,951,276,293,79,142,0,0,0,0,0,0,10
1334,1237,1260,1263,1280,0,1281,1284,0,943,259,313,69,132,0,0,0,0,0,0,10
1334,1272,1276,1269,1277,0,1275,1278,0,948,248,309,75,118,0,0,0,0,0,0,10
1313,1255,1274,1258,1285,0,1282,1285,0,957,265,326,83,116,0,0,0,0,0,0,10
1324,1263,1271,1252,1267,0,1260,1295,0,950,266,298,79,134,0,0,0,0,0,0,10
1330,1251,1258,1265,1280,0,1286,1292,0,967,271,274,72,144,0,0,0,0,0,0,10
1335,1264,1252,1274,1257,0,1270,1277,0,971,266,295,77,136,0,0,0,0,0,0,10
1319,1244,1260,1255,1264,0,1271,1266,0,971,281,295,71,137,0,0,0,0,0,0,10
1306,1273,1260,1252,1257,0,1276,1275,0,972,281,273,79,122,0,0,0,0,0,0,10
1299,1247,1250,1254,1274,0,1279,1285,0,996,260,270,97,122,0,0,0,0,0,0,10
1289,1269,1264,1262,1277,0,1297,1291,0,1004,268,273,102,132,0,0,0,0,0,0,10
1271,1245,1263,1259,1278,0,1299,1280,0,972,290,276,109,120,0,0,0,0,0,0,10
1291,1252,1282,1264,1266,0,1288,1288,0,979,278,308,85,121,0,0,0,0,0,0,10
1278,1250,1274,1278,1290,0,1268,1284,0,1001,276,328,94,114,0,0,0,0,0,0,10
1260,1250,1254,1254,1251,0,1265,1283,0,1016,280,339,93,136,0,0,0,0,0,0,10
1259,1254,1271,1263,1271,0,1268,1276,0,1040,276,351,81,152,0,0,0,0,0,0,10
1240,1270,1269,1276,1270,0,1288,1267,0,1019,261,356,69,177,0,0,0,0,0,0,10
1253,1267,1245,1258,1250,0,1287,1289,0,1049,245,358,72,182,0,0,0,0,0,0,10
1248,1263,1254,1263,1279,0,1291,1275,0,1049,236,356,67,186,0,0,0,0,0,0,10
1253,1254,1263,1274,1256,0,1277,1276,0,1068,257,335,81,200,0,0,0,0,0,0,10
1268,1246,1266,1273,1277,0,1258,1278,0,1074,262,316,95,208,0,0,0,0,0,0,10
1251,1258,1276,1265,1268,0,1270,1269,0,1061,262,328,85,210,0,0,0,0,0,0,10
1271,1260,1264,1280,1272,0,1295,1284,0,1092,278,347,84,197,0,0,0,0,0,0,10
1247,1264,1268,1270,1266,0,1271,1271,0,1118,278,343,82,180,0,0,0,0,0,0,10
1243,1266,1275,1256,1296,0,1278,1277,0,1125,295,339,93,188,0,0,0,0,0,0,10
1254,1264,1251,1267,1293,0,1280,1266,0,1145,292,341,84,177,0,0,0,0,0,0,10
1257,1258,1271,1256,1268,0,1288,1269,0,1158,290,339,85,147,0,0,0,0,0,0,10
1249,1268,1242,1265,1257,0,1271,1283,0,1170,290,356,107,151,0,0,0,0,0,0,10
1256,1244,1252,1281,1264,0,1266,1300,0,1176,300,392,107,153,0,0,0,0,0,0,10
1261,1265,1242,1266,1290,0,1277,1292,0,1156,312,418,99,138,0,0,0,0,0,0,10
1251,1278,1278,1268,1300,0,1278,1281,0,1166,303,426,92,143,0,0,0,0,0,0,10
1258,1259,1268,1277,1287,0,1260,1283,0,1159,295,425,104,135,0,0,0,0,0,0,10
1257,1260,1269,1250,1280,0,1281,1285,0,1185,283,458,124,139,0,0,0,0,0,0,10
