Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/2__fc_512__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
134981,134981,129207,129207,129207,129207,132396,132396,132396,133846,133846,133846,132720,132720,132720,137921,137921,137921,133378,133378,133378
145580,106392,74605,63862,60693,52581,52227,51336,48860,42606,42287,38356,38170,38727,37782,37615,36670,35458,33198,30069,31280
141557,56766,35885,24539,20562,17620,14360,15348,15363,11447,11957,10186,9390,9268,8238,8871,9357,7235,8839,8496,6731
127744,25432,20219,13135,13604,9814,7959,8221,7562,6778,5886,6286,4782,5324,3906,4625,5331,4278,4243,3980,3439
116548,15340,15090,9698,8270,6035,6734,5412,5420,4268,2562,4527,3451,3472,3017,3533,3689,3148,3116,2179,1725
101305,9831,11142,7398,5228,4110,5216,4130,3805,3355,2076,3395,2662,2948,2079,3021,2482,2320,2459,1205,1039
91647,8257,7976,6276,4041,2789,4273,2322,2781,2459,1580,2753,2854,2387,1800,2886,2288,2044,2046,1004,940
83543,5958,6329,5472,3512,2294,3802,1999,2042,1800,1535,2342,2164,1762,1734,2375,1592,2044,1773,983,952
72664,4972,5149,4080,2915,1825,3137,762,1022,1534,1535,2235,1705,1218,1658,1019,759,2044,1512,978,964
62597,3336,5144,3534,2403,1857,2750,512,1022,1388,1277,1802,1309,1023,1533,941,511,1581,1024,984,942
49909,2100,4584,2494,1876,1913,2304,512,1022,1330,1173,1776,932,1023,1289,952,511,1162,711,939,969
41406,1533,3508,2570,1760,1677,2318,512,1022,1043,1039,1343,791,921,816,965,511,730,563,502,993
36746,710,3472,2225,1534,1297,2319,512,513,868,928,968,658,585,512,663,511,522,578,358,1002
33961,40,3594,1969,1534,548,2155,512,513,884,1037,977,707,512,512,51,511,580,592,0,814
25790,0,3194,1982,1534,555,1720,512,513,902,1160,986,699,512,347,61,208,680,608,0,508
21191,0,2644,1625,1534,567,1535,512,513,924,1201,994,405,371,265,77,17,779,626,0,509
19024,0,2656,1536,1534,526,1327,512,9,945,590,1001,415,147,293,90,19,440,650,0,509
13255,0,2672,1536,1534,511,1023,512,5,573,512,1006,427,166,319,109,23,429,676,0,509
11415,0,2704,1536,1534,511,568,512,14,512,512,924,443,184,336,122,29,442,546,0,509
11216,0,2559,1536,1534,80,303,471,19,512,512,511,140,215,0,139,37,451,512,0,509
10138,0,2491,1363,1534,84,199,17,31,512,512,511,0,245,0,36,52,462,512,0,509
8763,0,2213,1086,1534,102,221,0,50,512,512,226,0,276,0,0,62,108,512,0,50
6867,0,2047,1042,1330,116,247,0,76,512,512,13,0,297,0,0,50,0,420,0,0
5621,0,1770,1024,1023,128,5,0,108,512,512,14,0,322,0,0,0,0,358,0,0
5125,0,1685,1024,704,147,0,0,146,118,512,16,0,340,0,0,0,0,376,0,0
3781,0,1702,1024,512,165,0,0,198,85,512,18,0,362,0,0,0,0,393,0,0
2253,0,1721,1024,512,186,0,0,257,102,508,21,0,383,0,0,0,0,408,0,0
1798,0,1602,1024,512,207,0,0,225,112,397,25,0,150,0,0,0,0,425,0,0
1533,0,1517,1024,512,231,0,0,193,128,412,29,0,0,0,0,0,0,438,0,0
1083,0,1059,1009,512,258,0,0,216,144,54,38,0,0,0,0,0,0,237,0,0
1022,0,1024,962,512,279,0,0,129,169,0,50,0,0,0,0,0,0,0,0,0
1022,0,1024,772,336,299,0,0,0,194,0,56,0,0,0,0,0,0,0,0,0
608,0,1024,512,343,322,0,0,0,215,0,67,0,0,0,0,0,0,0,0,0
511,0,1024,512,363,77,0,0,0,243,0,83,0,0,0,0,0,0,0,0,0
511,0,1024,512,376,0,0,0,0,271,0,104,0,0,0,0,0,0,0,0,0
362,0,851,512,390,0,0,0,0,299,0,124,0,0,0,0,0,0,0,0,0
0,0,844,512,299,0,0,0,0,324,0,144,0,0,0,0,0,0,0,0,0
0,0,868,512,0,0,0,0,0,170,0,163,0,0,0,0,0,0,0,0,0
0,0,891,512,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0
0,0,907,512,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0
0,0,676,512,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0
0,0,512,512,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0
0,0,512,507,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0
0,0,162,464,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0
0,0,111,471,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0
0,0,130,480,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0
0,0,147,484,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
0,0,168,491,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0
0,0,202,497,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0
0,0,235,500,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0
0,0,263,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,290,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,315,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
